Accession,Description,Gene,MW [kDa],Control_3,Case_3
P14618,Pyruvate kinase PKM OS=Homo sapiens OX=9606 GN=PKM PE=1 SV=4,PKM,57.9,105212252.124126,151302145.96827617
P49790,Nuclear pore complex protein Nup153 OS=Homo sapiens OX=9606 GN=NUP153 PE=1 SV=2,NUP153,153.8,73275611.34173901,77655339.69065905
Q13085,Acetyl-CoA carboxylase 1 OS=Homo sapiens OX=9606 GN=ACACA PE=1 SV=2,ACACA,265.4,36475517.670889296,57598353.56325946
Q8WWI1,LIM domain only protein 7 OS=Homo sapiens OX=9606 GN=LMO7 PE=1 SV=3,LMO7,192.6,61232473.54493215,61287220.73346981
Q13813,"Spectrin alpha chain, non-erythrocytic 1 OS=Homo sapiens OX=9606 GN=SPTAN1 PE=1 SV=3",SPTAN1,284.4,22550430.632491745,25096968.94929587
Q9HCS7,Pre-mRNA-splicing factor SYF1 OS=Homo sapiens OX=9606 GN=XAB2 PE=1 SV=2,XAB2,99.9,229431100.35455936,385504539.9209942
P31327,"Carbamoyl-phosphate synthase [ammonia], mitochondrial OS=Homo sapiens OX=9606 GN=CPS1 PE=1 SV=2",CPS1,164.8,54735667.63655902,103294789.8109937
P08670,Vimentin OS=Homo sapiens OX=9606 GN=VIM PE=1 SV=4,VIM,53.6,450837654.7036658,760219862.5521773
Q9UPQ0,LIM and calponin homology domains-containing protein 1 OS=Homo sapiens OX=9606 GN=LIMCH1 PE=1 SV=4,LIMCH1,121.8,55146586.83222782,60814185.91644486
Q13439,Golgin subfamily A member 4 OS=Homo sapiens OX=9606 GN=GOLGA4 PE=1 SV=1,GOLGA4,261.0,26408613.895271722,18981181.696867667
Q14678,KN motif and ankyrin repeat domain-containing protein 1 OS=Homo sapiens OX=9606 GN=KANK1 PE=1 SV=3,KANK1,147.2,39713806.578648634,48207790.250619866
Q9UKV8,Protein argonaute-2 OS=Homo sapiens OX=9606 GN=AGO2 PE=1 SV=3,AGO2,97.1,37176719.270931154,36235468.23172157
P60709,"Actin, cytoplasmic 1 OS=Homo sapiens OX=9606 GN=ACTB PE=1 SV=1",ACTB,41.7,339319122.30998224,610293211.5213315
P48634,Protein PRRC2A OS=Homo sapiens OX=9606 GN=PRRC2A PE=1 SV=3,PRRC2A,228.7,27377613.399012513,12403577.741586562
Q04637,Eukaryotic translation initiation factor 4 gamma 1 OS=Homo sapiens OX=9606 GN=EIF4G1 PE=1 SV=4,EIF4G1,175.4,114443518.83494295,93670003.19055796
Q86V48,Leucine zipper protein 1 OS=Homo sapiens OX=9606 GN=LUZP1 PE=1 SV=2,LUZP1,120.2,43528961.59422488,35586784.79237976
O43290,U4/U6.U5 tri-snRNP-associated protein 1 OS=Homo sapiens OX=9606 GN=SART1 PE=1 SV=1,SART1,90.2,52387875.26825565,47401264.967553616
P53621,Coatomer subunit alpha OS=Homo sapiens OX=9606 GN=COPA PE=1 SV=2,COPA,138.3,35539896.09121942,27830752.882663816
Q00341,Vigilin OS=Homo sapiens OX=9606 GN=HDLBP PE=1 SV=3,HDLBP,141.4,59636527.92483116,40713195.53904844
Q9H2P0,Activity-dependent neuroprotector homeobox protein OS=Homo sapiens OX=9606 GN=ADNP PE=1 SV=1,ADNP,123.5,52947681.59504192,54153919.56525265
Q9BTC0,Death-inducer obliterator 1 OS=Homo sapiens OX=9606 GN=DIDO1 PE=1 SV=5,DIDO1,243.7,27740189.473167464,32911917.724448744
O75376,Nuclear receptor corepressor 1 OS=Homo sapiens OX=9606 GN=NCOR1 PE=1 SV=2,NCOR1,270.0,26521535.332212824,20985685.66170749
Q92620,Pre-mRNA-splicing factor ATP-dependent RNA helicase PRP16 OS=Homo sapiens OX=9606 GN=DHX38 PE=1 SV=2,DHX38,140.4,43229228.928008094,47416700.822950706
Q5VT06,Centrosome-associated protein 350 OS=Homo sapiens OX=9606 GN=CEP350 PE=1 SV=1,CEP350,350.7,23310223.549455255,43719959.610214904
P78344,Eukaryotic translation initiation factor 4 gamma 2 OS=Homo sapiens OX=9606 GN=EIF4G2 PE=1 SV=1,EIF4G2,102.3,77501884.41377771,71529440.34240009
P42166,"Lamina-associated polypeptide 2, isoform alpha OS=Homo sapiens OX=9606 GN=TMPO PE=1 SV=2",TMPO,75.4,63015553.78734824,77319423.0588566
Q96JM3,Chromosome alignment-maintaining phosphoprotein 1 OS=Homo sapiens OX=9606 GN=CHAMP1 PE=1 SV=2,CHAMP1,89.0,91352651.57596123,133522701.1981945
O95359,Transforming acidic coiled-coil-containing protein 2 OS=Homo sapiens OX=9606 GN=TACC2 PE=1 SV=3,TACC2,309.2,41645718.97204498,32459834.035314262
Q9UDY2,Tight junction protein ZO-2 OS=Homo sapiens OX=9606 GN=TJP2 PE=1 SV=2,TJP2,133.9,94139174.96686509,66234854.88712441
Q6P2Q9,Pre-mRNA-processing-splicing factor 8 OS=Homo sapiens OX=9606 GN=PRPF8 PE=1 SV=2,PRPF8,273.4,27139996.14241521,58128761.4468977
P09874,Poly [ADP-ribose] polymerase 1 OS=Homo sapiens OX=9606 GN=PARP1 PE=1 SV=4,PARP1,113.0,54452293.189496465,45020380.6854681
Q14157,Ubiquitin-associated protein 2-like OS=Homo sapiens OX=9606 GN=UBAP2L PE=1 SV=2,UBAP2L,114.5,74425381.46263409,66208954.4639803
Q14160,Protein scribble homolog OS=Homo sapiens OX=9606 GN=SCRIB PE=1 SV=5,SCRIB,174.8,25816954.40134429,31469919.7319593
Q9UQR1,Zinc finger protein 148 OS=Homo sapiens OX=9606 GN=ZNF148 PE=1 SV=2,ZNF148,88.9,60237076.58946444,50937877.4492742
Q93009,Ubiquitin carboxyl-terminal hydrolase 7 OS=Homo sapiens OX=9606 GN=USP7 PE=1 SV=2,USP7,128.2,38792809.05137515,49496212.481627695
Q7Z3T8,Zinc finger FYVE domain-containing protein 16 OS=Homo sapiens OX=9606 GN=ZFYVE16 PE=1 SV=3,ZFYVE16,168.8,23975490.629888676,23225717.64885564
Q92900,Regulator of nonsense transcripts 1 OS=Homo sapiens OX=9606 GN=UPF1 PE=1 SV=2,UPF1,124.3,46437967.614801355,71031960.40328933
P11142,Heat shock cognate 71 kDa protein OS=Homo sapiens OX=9606 GN=HSPA8 PE=1 SV=1,HSPA8,70.9,55254879.06932736,73327397.56514414
P11021,Endoplasmic reticulum chaperone BiP OS=Homo sapiens OX=9606 GN=HSPA5 PE=1 SV=2,HSPA5,72.3,93433291.43458061,104062238.22740485
Q86XP3,ATP-dependent RNA helicase DDX42 OS=Homo sapiens OX=9606 GN=DDX42 PE=1 SV=1,DDX42,102.9,45526749.73850263,36628044.570641555
P55265,Double-stranded RNA-specific adenosine deaminase OS=Homo sapiens OX=9606 GN=ADAR PE=1 SV=4,ADAR,136.0,46100466.19964566,58803148.66053779
P15924,Desmoplakin OS=Homo sapiens OX=9606 GN=DSP PE=1 SV=3,DSP,331.6,22805845.195774555,16774473.35138336
Q14966,Zinc finger protein 638 OS=Homo sapiens OX=9606 GN=ZNF638 PE=1 SV=2,ZNF638,220.5,20202187.64417407,23284535.296994492
Q01082,"Spectrin beta chain, non-erythrocytic 1 OS=Homo sapiens OX=9606 GN=SPTBN1 PE=1 SV=2",SPTBN1,274.4,20651695.9550081,13026421.417964706
Q5VT52,Regulation of nuclear pre-mRNA domain-containing protein 2 OS=Homo sapiens OX=9606 GN=RPRD2 PE=1 SV=1,RPRD2,155.9,28898655.702112317,25905347.0263678
Q9C0C2,182 kDa tankyrase-1-binding protein OS=Homo sapiens OX=9606 GN=TNKS1BP1 PE=1 SV=4,TNKS1BP1,181.7,17948344.491449468,25199137.21248365
P48681,Nestin OS=Homo sapiens OX=9606 GN=NES PE=1 SV=2,NES,177.3,54932330.080386445,79440299.90007979
Q9UKV3,Apoptotic chromatin condensation inducer in the nucleus OS=Homo sapiens OX=9606 GN=ACIN1 PE=1 SV=2,ACIN1,151.8,57094508.241086885,60251945.59332951
Q13428,Treacle protein OS=Homo sapiens OX=9606 GN=TCOF1 PE=1 SV=3,TCOF1,152.0,70661507.81949148,68076717.67577718
P51610,Host cell factor 1 OS=Homo sapiens OX=9606 GN=HCFC1 PE=1 SV=2,HCFC1,208.6,38743752.97604939,36204192.22200742
Q9Y520,Protein PRRC2C OS=Homo sapiens OX=9606 GN=PRRC2C PE=1 SV=4,PRRC2C,316.7,24186425.45118833,23907515.077734474
Q8IX01,SURP and G-patch domain-containing protein 2 OS=Homo sapiens OX=9606 GN=SUGP2 PE=1 SV=2,SUGP2,120.1,57101940.85322134,67145168.50638033
Q14258,E3 ubiquitin/ISG15 ligase TRIM25 OS=Homo sapiens OX=9606 GN=TRIM25 PE=1 SV=2,TRIM25,70.9,55520262.112578854,37762003.7083412
P13639,Elongation factor 2 OS=Homo sapiens OX=9606 GN=EEF2 PE=1 SV=4,EEF2,95.3,60211687.9370497,71345565.6986092
O00571,ATP-dependent RNA helicase DDX3X OS=Homo sapiens OX=9606 GN=DDX3X PE=1 SV=3,DDX3X,73.2,83399478.80510567,96701134.08242808
Q08211,ATP-dependent RNA helicase A OS=Homo sapiens OX=9606 GN=DHX9 PE=1 SV=4,DHX9,140.9,36788764.93375557,56702714.385613285
P42167,"Lamina-associated polypeptide 2, isoforms beta/gamma OS=Homo sapiens OX=9606 GN=TMPO PE=1 SV=2",TMPO,50.6,74728289.68196106,73482443.89962263
Q8IZH2,5'-3' exoribonuclease 1 OS=Homo sapiens OX=9606 GN=XRN1 PE=1 SV=1,XRN1,194.0,26062352.847977385,19697457.810887884
Q96RT1,Erbin OS=Homo sapiens OX=9606 GN=ERBIN PE=1 SV=2,ERBIN,158.2,35294284.492788374,40314183.58709274
P23588,Eukaryotic translation initiation factor 4B OS=Homo sapiens OX=9606 GN=EIF4B PE=1 SV=2,EIF4B,69.1,123993338.88994572,94772985.05194844
Q7Z2W4,Zinc finger CCCH-type antiviral protein 1 OS=Homo sapiens OX=9606 GN=ZC3HAV1 PE=1 SV=3,ZC3HAV1,101.4,39143396.04569844,40901411.96077782
Q9Y2W1,Thyroid hormone receptor-associated protein 3 OS=Homo sapiens OX=9606 GN=THRAP3 PE=1 SV=2,THRAP3,108.6,79712048.19100218,71273313.191271
A6NKT7,RanBP2-like and GRIP domain-containing protein 3 OS=Homo sapiens OX=9606 GN=RGPD3 PE=3 SV=2,RGPD3,197.4,1523676.9946975168,2267074.8981839065
O43143,ATP-dependent RNA helicase DHX15 OS=Homo sapiens OX=9606 GN=DHX15 PE=1 SV=2,DHX15,90.9,49523791.41693379,62688089.56428235
P40692,DNA mismatch repair protein Mlh1 OS=Homo sapiens OX=9606 GN=MLH1 PE=1 SV=1,MLH1,84.5,35707535.47206544,34390410.66015534
Q5T3I0,G patch domain-containing protein 4 OS=Homo sapiens OX=9606 GN=GPATCH4 PE=1 SV=2,GPATCH4,50.4,76146758.5889893,47985879.485565476
P04406,Glyceraldehyde-3-phosphate dehydrogenase OS=Homo sapiens OX=9606 GN=GAPDH PE=1 SV=3,GAPDH,36.0,86068685.15776111,121598492.07374392
O43395,U4/U6 small nuclear ribonucleoprotein Prp3 OS=Homo sapiens OX=9606 GN=PRPF3 PE=1 SV=2,PRPF3,77.5,77023474.59012625,34950029.038902715
Q8IWI9,MAX gene-associated protein OS=Homo sapiens OX=9606 GN=MGA PE=1 SV=4,MGA,336.0,17634533.372474417,22059502.436351676
Q5SW79,Centrosomal protein of 170 kDa OS=Homo sapiens OX=9606 GN=CEP170 PE=1 SV=1,CEP170,175.2,21488779.559351616,14662159.530400543
P05165,"Propionyl-CoA carboxylase alpha chain, mitochondrial OS=Homo sapiens OX=9606 GN=PCCA PE=1 SV=4",PCCA,80.0,33526829.567056235,77320225.46944882
P54277,PMS1 protein homolog 1 OS=Homo sapiens OX=9606 GN=PMS1 PE=1 SV=1,PMS1,105.8,48472639.91528528,67050103.22384825
Q01780,Exosome complex component 10 OS=Homo sapiens OX=9606 GN=EXOSC10 PE=1 SV=2,EXOSC10,100.8,31315204.378193676,24343761.323874265
O94906,Pre-mRNA-processing factor 6 OS=Homo sapiens OX=9606 GN=PRPF6 PE=1 SV=1,PRPF6,106.9,42736830.66321443,52246108.99433873
O75179,Ankyrin repeat domain-containing protein 17 OS=Homo sapiens OX=9606 GN=ANKRD17 PE=1 SV=3,ANKRD17,274.1,18375634.34544874,3792847.4519313616
Q8WYP5,Protein ELYS OS=Homo sapiens OX=9606 GN=AHCTF1 PE=1 SV=3,AHCTF1,252.3,19290792.59901272,24283088.789132092
O15042,U2 snRNP-associated SURP motif-containing protein OS=Homo sapiens OX=9606 GN=U2SURP PE=1 SV=2,U2SURP,118.2,53653656.652333,75452165.44078463
P35658,Nuclear pore complex protein Nup214 OS=Homo sapiens OX=9606 GN=NUP214 PE=1 SV=2,NUP214,213.5,26544930.766277764,34604210.47648521
P07437,Tubulin beta chain OS=Homo sapiens OX=9606 GN=TUBB PE=1 SV=2,TUBB,49.6,15970209.779458376,22168255.681792825
Q6KC79,Nipped-B-like protein OS=Homo sapiens OX=9606 GN=NIPBL PE=1 SV=2,NIPBL,315.9,20983525.329301406,14486274.706124194
P52948,Nuclear pore complex protein Nup98-Nup96 OS=Homo sapiens OX=9606 GN=NUP98 PE=1 SV=4,NUP98,197.5,18451524.814530376,24070511.48243277
Q8IWZ3,Ankyrin repeat and KH domain-containing protein 1 OS=Homo sapiens OX=9606 GN=ANKHD1 PE=1 SV=1,ANKHD1,269.3,5821233.813337844,14898596.60529659
P68371,Tubulin beta-4B chain OS=Homo sapiens OX=9606 GN=TUBB4B PE=1 SV=1,TUBB4B,49.8,122213355.32553472,209446014.6472254
P52272,Heterogeneous nuclear ribonucleoprotein M OS=Homo sapiens OX=9606 GN=HNRNPM PE=1 SV=3,HNRNPM,77.5,87191675.8522663,104009543.96264789
P46937,Transcriptional coactivator YAP1 OS=Homo sapiens OX=9606 GN=YAP1 PE=1 SV=2,YAP1,54.4,65252931.442602076,50515550.03590318
O75369,Filamin-B OS=Homo sapiens OX=9606 GN=FLNB PE=1 SV=2,FLNB,278.0,11084105.687480368,19507746.449471705
A5YKK6,CCR4-NOT transcription complex subunit 1 OS=Homo sapiens OX=9606 GN=CNOT1 PE=1 SV=2,CNOT1,266.8,11191970.024580486,11079311.888379414
P38646,"Stress-70 protein, mitochondrial OS=Homo sapiens OX=9606 GN=HSPA9 PE=1 SV=2",HSPA9,73.6,66670121.14510435,98805033.4877852
O95239,Chromosome-associated kinesin KIF4A OS=Homo sapiens OX=9606 GN=KIF4A PE=1 SV=3,KIF4A,139.8,26274068.75120555,13786140.789752236
P60842,Eukaryotic initiation factor 4A-I OS=Homo sapiens OX=9606 GN=EIF4A1 PE=1 SV=1,EIF4A1,46.1,52258782.99161984,78887534.98990032
Q13435,Splicing factor 3B subunit 2 OS=Homo sapiens OX=9606 GN=SF3B2 PE=1 SV=2,SF3B2,100.2,42889863.105109796,30436473.28070947
Q15648,Mediator of RNA polymerase II transcription subunit 1 OS=Homo sapiens OX=9606 GN=MED1 PE=1 SV=4,MED1,168.4,17080827.899692774,10744367.117275821
P17844,Probable ATP-dependent RNA helicase DDX5 OS=Homo sapiens OX=9606 GN=DDX5 PE=1 SV=1,DDX5,69.1,75537648.11854154,109330571.20010334
Q13177,Serine/threonine-protein kinase PAK 2 OS=Homo sapiens OX=9606 GN=PAK2 PE=1 SV=3,PAK2,58.0,52819892.29018768,46123879.29775076
P68104,Elongation factor 1-alpha 1 OS=Homo sapiens OX=9606 GN=EEF1A1 PE=1 SV=1,EEF1A1,50.1,308951949.4160291,382437026.7642419
P24928,DNA-directed RNA polymerase II subunit RPB1 OS=Homo sapiens OX=9606 GN=POLR2A PE=1 SV=2,POLR2A,217.0,15090831.781837912,20191392.638069402
Q9BUH8,Brain-enriched guanylate kinase-associated protein OS=Homo sapiens OX=9606 GN=BEGAIN PE=1 SV=1,BEGAIN,64.8,20088133.05447222,49775961.9816656
P18583,Protein SON OS=Homo sapiens OX=9606 GN=SON PE=1 SV=4,SON,263.7,33371132.70214401,58015671.15701411
Q15365,Poly(rC)-binding protein 1 OS=Homo sapiens OX=9606 GN=PCBP1 PE=1 SV=2,PCBP1,37.5,247248524.31697732,211575849.58710063
P10809,"60 kDa heat shock protein, mitochondrial OS=Homo sapiens OX=9606 GN=HSPD1 PE=1 SV=2",HSPD1,61.0,35334768.95399642,69509577.50561126
Q14247,Src substrate cortactin OS=Homo sapiens OX=9606 GN=CTTN PE=1 SV=2,CTTN,61.5,137941944.64307362,177447086.53175902
Q9Y618,Nuclear receptor corepressor 2 OS=Homo sapiens OX=9606 GN=NCOR2 PE=1 SV=3,NCOR2,273.5,10028971.829539651,6216542.509175542
Q9Y4E1,WASH complex subunit 2C OS=Homo sapiens OX=9606 GN=WASHC2C PE=1 SV=5,WASHC2C,147.1,340540.5587779321,363022.2704647965
Q15393,Splicing factor 3B subunit 3 OS=Homo sapiens OX=9606 GN=SF3B3 PE=1 SV=4,SF3B3,135.5,22213567.638260428,28833980.91600815
Q641Q2,WASH complex subunit 2A OS=Homo sapiens OX=9606 GN=WASHC2A PE=1 SV=3,WASHC2A,147.1,7910181.82840927,10661040.693852508
P25705,"ATP synthase subunit alpha, mitochondrial OS=Homo sapiens OX=9606 GN=ATP5F1A PE=1 SV=1",ATP5F1A,59.7,99803604.53486839,153316852.2621597
P06733,Alpha-enolase OS=Homo sapiens OX=9606 GN=ENO1 PE=1 SV=2,ENO1,47.1,43261818.25428272,66670666.33573951
Q7LBC6,Lysine-specific demethylase 3B OS=Homo sapiens OX=9606 GN=KDM3B PE=1 SV=2,KDM3B,191.5,12814980.214282446,7706688.195609824
Q9NR30,Nucleolar RNA helicase 2 OS=Homo sapiens OX=9606 GN=DDX21 PE=1 SV=5,DDX21,87.3,22364130.967531145,41948395.013727054
Q9ULW0,Targeting protein for Xklp2 OS=Homo sapiens OX=9606 GN=TPX2 PE=1 SV=2,TPX2,85.6,21675483.408140954,16928857.982340317
P04843,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 1 OS=Homo sapiens OX=9606 GN=RPN1 PE=1 SV=1,RPN1,68.5,23347457.158391897,27209253.031246733
Q00839,Heterogeneous nuclear ribonucleoprotein U OS=Homo sapiens OX=9606 GN=HNRNPU PE=1 SV=6,HNRNPU,90.5,77962079.17109938,135329464.1825054
Q96F86,Enhancer of mRNA-decapping protein 3 OS=Homo sapiens OX=9606 GN=EDC3 PE=1 SV=1,EDC3,56.0,42011536.06462566,35510434.77763615
P26640,Valine--tRNA ligase OS=Homo sapiens OX=9606 GN=VARS1 PE=1 SV=4,VARS1,140.4,15653330.602800539,19145994.184567712
Q9NRY4,Rho GTPase-activating protein 35 OS=Homo sapiens OX=9606 GN=ARHGAP35 PE=1 SV=3,ARHGAP35,170.4,14048064.655331094,13455698.534243949
Q9H6S0,3'-5' RNA helicase YTHDC2 OS=Homo sapiens OX=9606 GN=YTHDC2 PE=1 SV=2,YTHDC2,160.1,18011908.975700647,16258527.40505776
O75534,Cold shock domain-containing protein E1 OS=Homo sapiens OX=9606 GN=CSDE1 PE=1 SV=2,CSDE1,88.8,38389985.30735342,25605029.10235538
Q5JSZ5,Protein PRRC2B OS=Homo sapiens OX=9606 GN=PRRC2B PE=1 SV=2,PRRC2B,242.8,9522842.827831164,2980180.686525682
Q9BY89,Uncharacterized protein KIAA1671 OS=Homo sapiens OX=9606 GN=KIAA1671 PE=1 SV=2,KIAA1671,196.6,13999899.2199146,7850745.635843222
Q9Y5K6,CD2-associated protein OS=Homo sapiens OX=9606 GN=CD2AP PE=1 SV=1,CD2AP,71.4,39330579.70952967,32033878.92283087
Q8WUF5,RelA-associated inhibitor OS=Homo sapiens OX=9606 GN=PPP1R13L PE=1 SV=4,PPP1R13L,89.0,15584652.506023781,6497655.155490702
P46060,Ran GTPase-activating protein 1 OS=Homo sapiens OX=9606 GN=RANGAP1 PE=1 SV=1,RANGAP1,63.5,23939032.477154545,26196402.871738177
P11717,Cation-independent mannose-6-phosphate receptor OS=Homo sapiens OX=9606 GN=IGF2R PE=1 SV=3,IGF2R,274.2,17194329.341960657,18893715.139422454
P50454,Serpin H1 OS=Homo sapiens OX=9606 GN=SERPINH1 PE=1 SV=2,SERPINH1,46.4,23909582.20382003,46438188.55096777
P48643,T-complex protein 1 subunit epsilon OS=Homo sapiens OX=9606 GN=CCT5 PE=1 SV=1,CCT5,59.6,22033886.100358527,22907141.186612472
Q9NQS7,Inner centromere protein OS=Homo sapiens OX=9606 GN=INCENP PE=1 SV=3,INCENP,105.4,47710761.80158678,46218873.532568485
O95782,AP-2 complex subunit alpha-1 OS=Homo sapiens OX=9606 GN=AP2A1 PE=1 SV=3,AP2A1,107.5,16944276.561708987,18006296.10787997
O14617,AP-3 complex subunit delta-1 OS=Homo sapiens OX=9606 GN=AP3D1 PE=1 SV=1,AP3D1,130.1,18803750.9449028,18548237.771027166
P07355,Annexin A2 OS=Homo sapiens OX=9606 GN=ANXA2 PE=1 SV=2,ANXA2,38.6,74166769.16261777,90933722.36565262
Q13586,Stromal interaction molecule 1 OS=Homo sapiens OX=9606 GN=STIM1 PE=1 SV=3,STIM1,77.4,62279849.65442635,39622406.45942665
O14974,Protein phosphatase 1 regulatory subunit 12A OS=Homo sapiens OX=9606 GN=PPP1R12A PE=1 SV=1,PPP1R12A,115.2,42686265.284145,14017555.891868645
P78347,General transcription factor II-I OS=Homo sapiens OX=9606 GN=GTF2I PE=1 SV=2,GTF2I,112.3,18709403.535201304,16584714.041311465
Q9H9G7,Protein argonaute-3 OS=Homo sapiens OX=9606 GN=AGO3 PE=1 SV=2,AGO3,97.3,4797021.646626991,3466250.616235889
Q15020,Squamous cell carcinoma antigen recognized by T-cells 3 OS=Homo sapiens OX=9606 GN=SART3 PE=1 SV=1,SART3,109.9,26831001.67936862,27860519.23911402
P17987,T-complex protein 1 subunit alpha OS=Homo sapiens OX=9606 GN=TCP1 PE=1 SV=1,TCP1,60.3,43437738.75489077,73782919.69403066
O75717,WD repeat and HMG-box DNA-binding protein 1 OS=Homo sapiens OX=9606 GN=WDHD1 PE=1 SV=1,WDHD1,125.9,36375201.58939461,23552417.595288087
Q6Y7W6,GRB10-interacting GYF protein 2 OS=Homo sapiens OX=9606 GN=GIGYF2 PE=1 SV=1,GIGYF2,150.0,19350936.32257308,7069537.383842268
O00443,Phosphatidylinositol 4-phosphate 3-kinase C2 domain-containing subunit alpha OS=Homo sapiens OX=9606 GN=PIK3C2A PE=1 SV=2,PIK3C2A,190.6,15764140.036198739,12550915.570086215
P23396,Small ribosomal subunit protein uS3 OS=Homo sapiens OX=9606 GN=RPS3 PE=1 SV=2,RPS3,26.7,118932646.66850844,164929990.4785552
P09651,Heterogeneous nuclear ribonucleoprotein A1 OS=Homo sapiens OX=9606 GN=HNRNPA1 PE=1 SV=5,HNRNPA1,38.7,99062481.50598304,102824661.41089003
Q8N4C8,Misshapen-like kinase 1 OS=Homo sapiens OX=9606 GN=MINK1 PE=1 SV=2,MINK1,149.7,21843552.94949378,14386737.42169231
Q92841,Probable ATP-dependent RNA helicase DDX17 OS=Homo sapiens OX=9606 GN=DDX17 PE=1 SV=2,DDX17,80.2,50007003.52888202,13918872.769578494
